timestamp,text,likes,retweets,username
2026-04-21 01:50:57,META earnings beat — time to buy the dip,55,10,trader_9921
2026-04-27 22:13:57,NVDA earnings beat — time to buy the dip,87,0,trader_2283
2026-04-26 23:24:57,Anyone have a price target on TSLA?,82,12,trader_6376
2026-04-13 21:24:57,"Loaded up on GOOGL calls, this thing is going to moon 🚀",17,0,trader_8116
2026-04-19 05:11:57,Anyone have a price target on AMZN?,233,0,trader_9740
2026-04-21 09:14:57,Short AMZN — chart is broken,73,20,trader_3583
2026-04-17 09:40:57,Anyone have a price target on NVDA?,23,10,trader_3032
2026-05-04 15:06:57,Anyone have a price target on SPY?,132,7,trader_8762
2026-04-17 01:25:57,"Selling TSLA before earnings, too risky",182,11,trader_6696
2026-04-26 03:28:57,Watching AAPL closely this week #stocks,4,25,trader_224
2026-04-29 03:10:57,"Selling META before earnings, too risky",11,12,trader_8854
2026-04-17 09:00:57,Watching TSLA closely this week #stocks,17,25,trader_3345
2026-05-06 01:40:57,"Selling AMD before earnings, too risky",88,3,trader_2215
2026-05-03 09:48:57,"Loaded up on AAPL calls, this thing is going to moon 🚀",7,3,trader_2904
2026-04-19 08:02:57,"Loaded up on AMD calls, this thing is going to moon 🚀",32,1,trader_7070
2026-04-29 06:24:57,"Loaded up on META calls, this thing is going to moon 🚀",9,39,trader_3564
2026-04-26 16:23:57,Watching AMD closely this week #stocks,39,0,trader_6720
2026-05-02 10:43:57,Anyone have a price target on AAPL?,80,27,trader_9924
2026-04-10 17:35:57,Short NVDA — chart is broken,14,51,trader_2137
2026-05-03 00:03:57,TSLA earnings beat — time to buy the dip,31,4,trader_4949
2026-04-12 21:00:57,"Selling AMZN before earnings, too risky",11,37,trader_8277
2026-04-26 16:22:57,"Loaded up on AMZN calls, this thing is going to moon 🚀",139,27,trader_6026
2026-05-05 02:39:57,Watching NVDA closely this week #stocks,28,18,trader_4813
2026-04-20 20:11:57,Short META — chart is broken,187,18,trader_6178
2026-05-04 04:31:57,GOOGL earnings beat — time to buy the dip,50,3,trader_715
2026-04-20 06:22:57,Short SPY — chart is broken,17,2,trader_3871
2026-04-08 15:01:57,MSFT earnings beat — time to buy the dip,18,19,trader_5189
2026-04-25 01:39:57,Anyone have a price target on GOOGL?,87,37,trader_5352
2026-04-14 03:17:57,AMD earnings beat — time to buy the dip,8,9,trader_4307
2026-04-21 03:48:57,Anyone have a price target on MSFT?,63,25,trader_7309
2026-04-08 11:55:57,Short MSFT — chart is broken,58,6,trader_3888
2026-04-22 16:18:57,Anyone have a price target on META?,5,5,trader_6651
2026-05-08 08:19:57,Watching AMZN closely this week #stocks,39,6,trader_5187
2026-04-09 21:59:57,Watching GOOGL closely this week #stocks,37,4,trader_4810
2026-04-11 23:39:57,"Loaded up on TSLA calls, this thing is going to moon 🚀",26,2,trader_1055
2026-04-29 13:49:57,"Loaded up on MSFT calls, this thing is going to moon 🚀",32,8,trader_6566
2026-05-02 13:24:57,SPY earnings beat — time to buy the dip,64,20,trader_7416
2026-04-19 08:59:57,Watching META closely this week #stocks,47,34,trader_3030
2026-04-12 08:13:57,Anyone have a price target on AMD?,94,16,trader_6369
2026-04-15 22:01:57,"Loaded up on SPY calls, this thing is going to moon 🚀",60,7,trader_5600
2026-04-19 13:36:57,"Selling SPY before earnings, too risky",4,3,trader_2819
2026-04-11 15:19:57,"Loaded up on NVDA calls, this thing is going to moon 🚀",17,50,trader_6608
2026-05-06 05:34:57,"Selling AAPL before earnings, too risky",53,2,trader_8477
2026-04-25 23:45:57,"Selling NVDA before earnings, too risky",8,14,trader_6082
2026-05-01 17:38:57,Short TSLA — chart is broken,12,1,trader_8640
2026-04-27 21:19:57,Short AAPL — chart is broken,34,42,trader_1688
2026-04-13 02:25:57,"Selling MSFT before earnings, too risky",10,8,trader_4853
2026-04-22 07:21:57,AAPL earnings beat — time to buy the dip,10,7,trader_5299
2026-04-20 09:23:57,Short GOOGL — chart is broken,100,38,trader_1312
2026-04-14 12:51:57,AMZN earnings beat — time to buy the dip,4,7,trader_6997
2026-04-24 10:36:57,Watching MSFT closely this week #stocks,153,1,trader_4083
2026-05-03 14:07:57,"Selling GOOGL before earnings, too risky",64,21,trader_6626
2026-04-20 05:19:57,Watching SPY closely this week #stocks,36,5,trader_1449
2026-04-20 14:38:57,Short AMD — chart is broken,56,16,trader_9014
